key,target,type,f2_area_error,f0_symmetry
894,0,test,0.12512016385779612,-2.25492928166671
884,1,test,0.7698373116153177,1.4658332593094843
128,1,test,-0.9296677882437646,0.9313393490395554
42,0,test,1.2903749199095198,-1.0991665463371334
637,1,test,-0.33999075270696366,1.1091558587085344
719,0,test,-1.2491299054146061,-0.6733544318068716
358,0,test,-1.656488385080873,-0.2503369186570953
209,0,test,-0.31288053150034734,-1.7710932970358693
2,1,test,-0.9896578317170732,0.8838089798414264
668,1,test,-0.4187131398390007,0.29145257825485693
640,1,test,-0.02683170157477388,1.7601151862183189
800,0,test,-3.203236387706606,1.6599561911142304
293,0,test,2.5477702929641817,-1.2266042000552966
555,0,test,1.316220818280271,-1.0559224978808261
988,0,test,0.2711705174250467,-0.9337377366764548
820,1,test,-0.8362462268855786,0.2662392792429519
248,0,test,-2.2375367371358417,0.3217663087438658
60,0,test,-1.1433549326215213,-0.7145134620041727
682,1,test,-0.793512074614113,0.145488035302071
995,0,test,-0.5562180551717496,-1.4446762294242887
284,0,test,-2.6486659398209493,0.7569338803065169
385,1,test,1.0053680795271551,0.3675156287733682
813,0,test,1.1262819696960062,-0.9459632442524419
862,0,test,-1.5973783953185978,-0.42695896445742954
643,0,test,-1.7867662801078148,0.16402429672292107
717,0,test,-0.9200335158322995,-1.0353615839570551
10,1,test,0.2512498032799463,0.929463562810154
18,1,test,-1.121390267710778,0.17433661917108312
948,1,test,0.261630454244858,1.6688106533886955
938,0,test,1.8751197301704994,-1.2354374658361884
801,0,test,1.4713952502825731,-0.7797335984988112
625,1,test,-1.124497636970747,1.8409448427304347
141,1,test,-1.0269271027564835,1.770695094518285
11,1,test,-0.8104558124653239,0.3909387688914918
919,1,test,-1.3189798787329905,1.254875184527776
297,0,test,0.49266256294421606,-2.463302573047602
593,0,test,-0.2238119235586432,-1.7124131836843317
343,0,test,-0.007596160160080689,-1.8523431040906746
208,1,test,0.9774221581951761,1.2713346092338613
101,1,test,-0.970716234749102,0.20650244385625915
537,0,test,-0.9038225202383285,-1.2663784446787658
281,0,test,1.1687294827055936,-1.110624659477616
445,0,test,1.5660239958690703,-0.9321484668404468
901,1,test,2.773085526210557,1.7167883850636099
376,1,test,1.613604192960986,0.7530778201459996
871,1,test,-0.7133143158966647,0.98312959146868
179,0,test,-0.39589165763298895,-1.6093171390161327
951,0,test,0.11036495610737673,-2.068955313493855
911,1,test,-0.8442732959673463,-0.15712878646668083
926,1,test,-1.0712310212729155,0.4928891795888627
198,1,test,0.7710696572933524,1.5465011860901163
785,0,test,-1.372656201528588,-0.7392921539339723
764,0,test,-0.4135682019937329,-1.7801440282473346
899,1,test,-1.2786885957729077,0.6519717075620495
727,1,test,0.7979381929025048,0.3646510217806822
604,1,test,-0.9332951286411111,0.5569581042754985
819,1,test,1.2794194109028958,0.8416342565434121
187,1,test,-1.2223699893288522,0.9770516137134035
428,1,test,0.9038253873460305,2.0618054005210813
968,0,test,1.4435738132744094,-0.8165578515969376
25,1,test,1.0630901929353296,1.0713384798428869
325,0,test,-0.37256000766895947,-1.5305866399274894
412,1,test,-0.99645410635723,2.3212601773190618
874,1,test,-0.6866162750023217,0.6287020115378557
355,0,test,-1.5406821356079219,-0.2542408516448227
487,0,test,-0.24615123277095874,-1.6714290732799073
956,0,test,0.7655519987615567,-1.0496044962082554
928,1,test,0.6867263839597431,0.5747508167142855
